Name,Date of Birth,Height,Position,Points per Set,Aces per Set,Blocks per Set,Reception Percentage,Attack Percentage,volleybox,Nationality,League Site
GROZDANOV BRANIMIR KRASIMIROV,21/05/1994,198cm,Wing-Spiker,2.06(33/16),0.19(3/16),0.29(10/35),40%(29/73),33%(25/75),https://volleybox.net/branimir-grozdanov-p108,BUL,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=553&PlayerID=1119&ID=78
BUCKO BARTOSZ,06/01/1995,195cm,Wing-Spiker,3.3(142/43),0.35(15/43),0.35(15/43),49%(127/261),45%(112/249),https://volleybox.net/bartosz-bucko-p794,POL,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=557&PlayerID=6249&ID=78
TATAROV GEORGI,10/05/2003,200cm,Wing-Spiker,3.29(253/77),0.18(14/77),0.34(26/77),37%(183/499),44%(213/484),https://volleybox.net/georgi-tatarov-p28903,BUL,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=549&PlayerID=6237&ID=78
IVANOV SVETOSLAV,07/10/2000,194cm,Wing-Spiker,3.26(323/99),0.23(23/99),0.31(31/99),49%(273/559),47%(269/567),https://volleybox.net/svetoslav-ivanov-p59197,BUL,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=552&PlayerID=5784&ID=78
AKSOY RAHMI CAGLAR,13/07/1984,198cm,Opposite,3.25(39/12),0.33(4/12),0.0(0/12),N/A,51%(35/69),https://volleybox.net/rahmi-caglar-aksoy-p33367,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=561&PlayerID=791&ID=78
VUKASINOVIC MARKO,30/07/1993,196cm,Wing-Spiker,3.21(292/91),0.24(22/91),0.3(27/91),49%(274/558),48%(243/505),https://volleybox.net/marko-vukasinovic-p3244,MNE,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=561&PlayerID=6253&ID=78
DIVIS LUKAS,20/02/1986,201cm,Wing-Spiker,3.18(108/34),0.32(11/34),0.21(7/34),56%(100/178),43%(90/207),https://volleybox.net/lukas-divis-p1144,RUS,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=549&PlayerID=5032&ID=78
MIKA MATHEUSZ,21/01/1991,N/A,Wing-Spiker,3.11(295/95),0.09(9/95),0.2(19/95),49%(249/508),48%(267/557),https://volleybox.net/user/mika,POL,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=561&PlayerID=6248&ID=78
ENABOIFO CANSIN OGBAI,09/07/1995,197cm,Wing-Spiker,3.03(182/60),0.02(1/60),0.27(16/60),46%(139/302),51%(165/326),https://volleybox.net/cansin-ogbai-enaboifo-p42111,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=558&PlayerID=457&ID=78
YAVUZ BERKAY,02/06/2001,190cm,Wing-Spiker,3.01(226/75),0.12(9/75),0.24(18/75),44%(215/493),44%(199/449),https://volleybox.net/berkay-yavuz-p55069,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=560&PlayerID=4524&ID=78
BAHOV DMITRII,23/10/1990,197cm,Wing-Spiker,3(327/109),0.46(50/109),0.2(22/109),56%(306/551),44%(255/580),https://volleybox.net/dmitrii-bahov-p720,MDA,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=551&PlayerID=1287&ID=78
LOUATI YACINE,04/03/1992,198cm,Wing-Spiker,2.99(335/112),0.45(50/112),0.23(26/112),60%(357/592),46%(259/557),https://volleybox.net/yacine-louati-p530,FRA,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=554&PlayerID=5022&ID=78
TUINSTRA BENNIE,12/09/2000,200cm,Wing-Spiker,2.95(242/82),0.37(30/82),0.23(19/82),41%(131/316),53%(193/365),https://volleybox.net/bennie-tuinstra-p17317,NED,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=562&PlayerID=5014&ID=78
SUBASI BURUTAY,15/07/1990,194cm,Wing-Spiker,2.92(277/95),0.54(51/95),0.15(14/95),52%(179/343),44%(212/486),https://volleybox.net/burutay-subas-p1170,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=550&PlayerID=511&ID=78
IAN IERESHCHENKO,06/04/1990,197cm,Wing-Spiker,2.81(160/57),0.12(7/57),0.14(8/57),39%(131/338),47%(145/309),https://volleybox.net/ian-iereshchenko-p2677,UKR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=553&PlayerID=3227&ID=78
EKEN YUSUF,04/05/2000,203cm,Opposite,2.8(143/51),0.16(8/51),0.29(15/51),0%(0/4),46%(120/260),https://volleybox.net/yusuf-eken-p33197,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=553&PlayerID=3010&ID=78
SAAR KEVIN,15/01/1995,191cm,Wing-Spiker,2.78(103/37),0.03(1/37),0.08(3/37),41%(68/165),46%(99/214),https://volleybox.net/kevin-saar-p8318,EST,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=549&PlayerID=6236&ID=78
BRUNO NICOLAS,24/02/1989,188cm,Wing-Spiker,2.76(229/83),0.24(20/83),0.24(20/83),60%(180/301),55%(189/345),https://volleybox.net/nicolas-bruno-p34,ARG,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=556&PlayerID=3555&ID=78
GULMEZOGLU YIGIT,28/12/1995,199cm,Wing-Spiker,2.67(294/110),0.28(31/110),0.36(40/110),55%(364/659),49%(223/452),https://volleybox.net/yigit-gulmezoglu-p3882,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=556&PlayerID=4&ID=78
STANKOVIC MIHAJLO,05/06/1993,200cm,Wing-Spiker,2.62(97/37),0.14(5/37),0.14(5/37),48%(93/192),43%(87/201),https://volleybox.net/mihajlo-stankovic-p3199,SRB,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=553&PlayerID=1327&ID=78
CAM ABDULLAH,30/03/1997,202cm,Wing-Spiker,2.62(228/87),0.2(17/87),0.36(31/87),44%(188/430),48%(180/376),https://volleybox.net/abdullah-cam-p16705,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=553&PlayerID=753&ID=78
ARTHUR VOUKENG MBATIVOU CHRISTIAN,-,N/A,Middle-Blocker,2.54(99/39),0.1(4/39),0.26(10/39),40%(8/20),63%(85/135),https://volleybox.net/arthur-voukeng-p118272,CMR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=551&PlayerID=5942&ID=78
AVCI BATUHAN,02/08/2000,203cm,Wing-Spiker,2.52(161/64),0.12(8/64),0.25(16/64),39%(128/325),49%(137/282),https://volleybox.net/batuhan-avc-p16706,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=559&PlayerID=1302&ID=78
NALOBIN ALEKSEY,03/10/1989,203cm,Middle-Blocker,2.49(224/90),0.26(23/90),0.68(61/90),58%(10/17),79%(280/352),https://volleybox.net/aleksey-nalobin-p3240,RUS,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=558&PlayerID=6241&ID=78
KUKLINSKI PAVEL,18/12/1989,194cm,Wing-Spiker,2.45(213/87),0.23(20/87),0.22(19/87),57%(281/492),42%(174/416),https://volleybox.net/pavel-kuklinski-p6497,BLR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=559&PlayerID=4370&ID=78
BUYUKGOZ AHMET CAN,01/06/2000,N/A,Wing-Spiker,2.44(139/57),0.11(6/57),0.21(12/57),51%(178/347),41%(121/295), ,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=560&PlayerID=2404&ID=78
GUNGOR BATURALP BURAK,28/07/1993,191cm,Wing-Spiker,2.42(203/84),0.19(16/84),0.24(20/84),51%(190/369),42%(167/402),https://volleybox.net/baturalp-burak-gungor-p3185,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=555&PlayerID=576&ID=78
PERIC PAVLE,07/08/1998,207cm,Wing-Spiker,2.37(97/41),0.37(15/41),0.24(10/41),46%(65/142),45%(72/160),https://volleybox.net/pavle-peric-p29104,SRB,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=554&PlayerID=6254&ID=78
BULBUL BEDIRHAN,29/07/1999,201cm,Middle-Blocker,2.31(270/117),0.3(35/117),0.61(71/117),28%(12/42),79%(328/413),https://volleybox.net/bedirhan-bulbul-p10751,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=562&PlayerID=3252&ID=78
PINAR EMIR,20/08/2001,197cm,Opposite,2.27(59/26),0.08(2/26),0.19(5/26),0%(0/3),41%(52/126),https://volleybox.net/emir-pnar-p54768,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=549&PlayerID=3938&ID=78
ZORLUER BURHAN,30/07/1996,198cm,Wing-Spiker,2.27(68/30),0.23(7/30),0.2(6/30),45%(50/111),43%(55/127),https://volleybox.net/burhan-zorluer-p11873,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=557&PlayerID=2445&ID=78
YILMAZ ALI DENIZ,05/04/1999,194cm,Wing-Spiker,2.19(127/58),0.02(1/58),0.24(14/58),53%(188/357),47%(112/237),https://volleybox.net/ali-deniz-ylmaz-p31463,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=559&PlayerID=2432&ID=78
MELJANAC NIKOLA,15/01/1999,201cm,Opposite,2.15(84/39),0.15(6/39),0.18(7/39),N/A,57%(71/125),https://volleybox.net/nikola-meljanac-p15437,SRB,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=554&PlayerID=6531&ID=78
SAVAS VAHIT EMRE,03/07/1995,202cm,Middle-Blocker,2.1(187/89),0.27(24/89),0.52(46/89),80%(8/10),74%(234/314),https://volleybox.net/vahit-emre-savas-p3562,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=554&PlayerID=31&ID=78
METIN ERTUGRUL GAZI,01/01/1996,204cm,Middle-Blocker,2.1(176/84),0.17(14/84),0.76(64/84),43%(14/32),73%(196/266),https://volleybox.net/ertugrul-gazi-metin-p24538,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=549&PlayerID=2408&ID=78
KANLI EREN,16/01/1999,198cm,Wing-Spiker,2.02(123/61),0.16(10/61),0.11(7/61),48%(151/316),48%(106/223),https://volleybox.net/eren-kanl-p55135,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=560&PlayerID=4253&ID=78
TAYAZ YUNUS EMRE,20/03/1998,206cm,Middle-Blocker,2(110/55),0.05(3/55),0.71(39/55),57%(4/7),79%(136/172),https://volleybox.net/yunus-emre-tayaz-p11874,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=556&PlayerID=2444&ID=78
HACIOGLU MEHMET,29/05/1995,194cm,Wing-Spiker,2(130/65),0.06(4/65),0.25(16/65),49%(149/302),45%(110/242),https://volleybox.net/mehmet-hacoglu-p28275,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=558&PlayerID=2388&ID=78
POLAT HAKAN,11/11/1989,195cm,Middle-Blocker,1.99(201/101),0.17(17/101),0.69(70/101),55%(30/54),73%(230/311),https://volleybox.net/hakan-polat-p49434,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=561&PlayerID=555&ID=78
BIDAK SERCAN YUKSEL,06/06/1994,202cm,Middle-Blocker,1.94(149/77),0.06(5/77),0.42(32/77),77%(14/18),82%(224/270),https://volleybox.net/sercan-yuksel-bdak-p17780,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=559&PlayerID=452&ID=78
MCDONNELL DANIEL JAMES,15/09/1988,200cm,Middle-Blocker,1.93(189/98),0.26(25/98),0.5(49/98),63%(12/19),78%(230/292),https://volleybox.net/daniel-mcdonnell-p1805,USA,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=550&PlayerID=5011&ID=78
MATIC MERT,22/05/1995,211cm,Middle-Blocker,1.91(183/96),0.17(16/96),0.34(33/96),48%(12/25),80%(268/333),https://volleybox.net/mert-matic-p4051,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=556&PlayerID=812&ID=78
BALTACI AHMET SAMET,08/06/1999,210cm,Middle-Blocker,1.89(140/74),0.08(6/74),0.66(49/74),31%(12/38),69%(170/245),https://volleybox.net/ahmet-samet-baltac-p52285,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=553&PlayerID=3012&ID=78
AYDIN YASIN,07/11/1995,194cm,Wing-Spiker,1.86(145/78),0.04(3/78),0.31(24/78),45%(125/280),43%(118/273),https://volleybox.net/yasin-aydn-p3189,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=555&PlayerID=480&ID=78
DURMAZ CAGATAY,09/09/1996,200cm,Middle-Blocker,1.85(113/61),0.13(8/61),0.46(28/61),66%(4/6),76%(154/202),https://volleybox.net/osman-cagatay-durmaz-p6552,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=559&PlayerID=2435&ID=78
GOK EMIN,15/02/1988,202cm,Middle-Blocker,1.84(129/70),0.13(9/70),0.44(31/70),80%(28/35),80%(178/222),https://volleybox.net/emin-gok-p1173,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=549&PlayerID=471&ID=78
BATUR EMRE,21/04/1988,202cm,Middle-Blocker,1.83(187/102),0.13(13/102),0.66(67/102),64%(20/31),77%(214/276),https://volleybox.net/emre-batur-p1174,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=551&PlayerID=512&ID=78
KAYHAN KEMAL,01/02/1983,200cm,Middle-Blocker,1.8(171/95),0.14(13/95),0.58(55/95),53%(14/26),79%(206/258),https://volleybox.net/kemal-kayhan-p2101,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=552&PlayerID=464&ID=78
SABAH TAHA,05/05/1994,203cm,Wing-Spiker,1.8(88/49),0.18(9/49),0.12(6/49),42%(108/256),41%(73/180),https://volleybox.net/taha-sabah-p46939,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=558&PlayerID=32&ID=78
TUMER AHMET,15/09/2001,203cm,Middle-Blocker,1.78(174/98),0.11(11/98),0.44(43/98),36%(8/22),77%(240/311),https://volleybox.net/ahmet-tumer-p28495,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=554&PlayerID=2398&ID=78
FIRINCIOGLU EDIZ KAAN,25/09/1993,202cm,Opposite,1.77(23/13),0.31(4/13),0.0(0/13),0%(0/2),46%(19/41),https://volleybox.net/ediz-kaan-frncoglu-p3396,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=562&PlayerID=467&ID=78
ULU DOGUKAN,30/10/1995,205cm,Middle-Blocker,1.72(134/78),0.03(2/78),0.54(42/78),75%(12/16),77%(180/233),https://volleybox.net/dogukan-ulu-p24537,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=556&PlayerID=769&ID=78
GUNES MERT NEVZAT,06/08/1995,198cm,Wing-Spiker,1.7(80/47),0.09(4/47),0.13(6/47),41%(73/177),41%(70/169),https://volleybox.net/mert-nevzat-gunes-p6248,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=561&PlayerID=732&ID=78
TOPAL ATAKAN,01/01/2000,204cm,Middle-Blocker,1.7(136/80),0.19(15/80),0.41(33/80),20%(4/20),77%(176/228),https://volleybox.net/atakan-topal-p49507,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=560&PlayerID=3740&ID=78
DUR OMER FURKAN,17/08/1994,209cm,Middle-Blocker,1.67(142/85),0.12(10/85),0.48(41/85),78%(26/33),85%(182/212),https://volleybox.net/omer-furkan-dur-p33407,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=552&PlayerID=1313&ID=78
TARAKCI OGUZHAN,23/04/1993,196cm,Opposite,1.67(70/42),0.05(2/42),0.21(9/42),25%(2/8),44%(59/134),https://volleybox.net/oguzhan-tarakc-p45317,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=550&PlayerID=475&ID=78
OZTURK EMIR KAAN,20/12/2000,210cm,Middle-Blocker,1.63(124/76),0.11(8/76),0.39(30/76),38%(8/21),76%(172/225),https://volleybox.net/emir-kaan-ozturk-p46747,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=555&PlayerID=3388&ID=78
DILMENLER BERK,29/07/2004,200cm,Opposite,1.61(53/33),0.15(5/33),0.09(3/33),50%(2/4),77%(90/116),https://volleybox.net/berk-dilmenler-p33360,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=551&PlayerID=4278&ID=78
GUNES FAIK SAMET,27/05/1993,203cm,Middle-Blocker,1.59(126/79),0.08(6/79),0.67(53/79),54%(12/22),72%(134/185),https://volleybox.net/faik-samet-gunes-p3183,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=562&PlayerID=566&ID=78
KARASU OGUZHAN,16/06/1995,203cm,Middle-Blocker,1.59(183/115),0.15(17/115),0.44(51/115),45%(18/40),69%(230/331),https://volleybox.net/oguzhan-karasu-p24536,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=555&PlayerID=731&ID=78
SIKAR HASAN,18/05/1991,200cm,Middle-Blocker,1.58(82/52),0.1(5/52),0.54(28/52),25%(2/8),77%(98/127),https://volleybox.net/hasan-skar-p16772,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=554&PlayerID=1134&ID=78
KILINC UGUR,24/01/1997,204cm,Middle-Blocker,1.56(106/68),0.09(6/68),0.46(31/68),0%(0/12),81%(138/170),https://volleybox.net/ugur-klnc-p28271,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=558&PlayerID=2953&ID=78
EMET IBRAHIM,15/01/1986,208cm,Middle-Blocker,1.54(86/56),0.09(5/56),0.55(31/56),71%(10/14),72%(100/138),https://volleybox.net/brahim-emet-p1180,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=553&PlayerID=485&ID=78
KURTULUS HALIT,26/06/2002,203cm,Middle-Blocker,1.52(111/73),0.12(9/73),0.34(25/73),61%(8/13),80%(156/194),https://volleybox.net/halit-kurtulus-p49869,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=551&PlayerID=3913&ID=78
AYDIN FURKAN,15/01/1997,200cm,Middle-Blocker,1.47(72/49),0.15(2/13),0.23(3/13),0%(0/6),71%(76/107),https://volleybox.net/furkan-aydin-p16696,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=553&PlayerID=693&ID=78
UGUR FATIH EREN,01/01/1990,201cm,Middle-Blocker,1.29(27/21),0.0(0/21),0.48(10/21),54%(6/11),70%(34/48),https://volleybox.net/fatih-eren-ugur-p3883,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=555&PlayerID=1312&ID=78
EDIS ALI ONUR,18/01/1997,197cm,Middle-Blocker,1.44(36/25),0.12(3/25),0.4(10/25),100%(4/4),79%(46/58),https://volleybox.net/ali-onur-edis-p42709,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=553&PlayerID=3529&ID=78
DAUTEFENDIC AMEL,26/03/1999,208cm,Middle-Blocker,1.34(71/53),0.08(4/53),0.25(13/53),52%(10/19),75%(108/143),https://volleybox.net/amel-dautefendic-p55918,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=559&PlayerID=2945&ID=78
ONDES BERTUG,26/10/1996,202cm,Middle-Blocker,1.34(107/80),0.14(11/80),0.54(43/80),57%(12/21),70%(106/151),https://volleybox.net/bertug-ondes-p42112,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=550&PlayerID=1109&ID=78
YUKSEL GOKCEN,11/07/2004,202cm,Wing-Spiker,1.33(4/3),0.67(2/3),0.0(0/3),N/A,80%(4/5),https://volleybox.net/gokcen-yuksel-p66142,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=550&PlayerID=4723&ID=78
CAVALCANTE GABRIEL,14/04/1999,198cm,Wing-Spiker,1.33(16/12),0.0(0/12),0.17(2/12),41%(25/61),38%(14/37),https://volleybox.net/gabriel-de-carvalho-cavalcante-p40366,BRA,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=558&PlayerID=6536&ID=78
CAPKINOGLU HAKKI,20/07/1990,205cm,Middle-Blocker,1.29(44/34),0.12(4/34),0.38(13/34),28%(2/7),72%(54/74),https://volleybox.net/hakk-capknoglu-p3184,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=555&PlayerID=6&ID=78
KURT HALIL IBRAHIM,16/02/1998,205cm,Middle-Blocker,1.14(8/7),0.43(3/7),0.29(2/7),N/A,66%(6/9),https://volleybox.net/halil-brahim-kurt-p16757,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=554&PlayerID=2421&ID=78
TOSUN BURAKHAN,17/01/1998,203cm,Middle-Blocker,1.19(86/72),0.26(19/72),0.31(22/72),28%(4/14),84%(90/106),https://volleybox.net/burakhan-tosun-p6253,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=562&PlayerID=3508&ID=78
RADKE MURILO,31/01/1989,198cm,Setter,1.16(126/109),0.2(22/109),0.39(43/109),0%(0/10),82%(122/148),https://volleybox.net/murilo-radke-p203,BRA,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=551&PlayerID=2422&ID=78
SYNYTSIA YURII,22/08/1993,195cm,Setter,1.08(28/26),0.19(5/26),0.46(12/26),100%(2/2),81%(22/27),https://volleybox.net/yurii-synytsia-p28503,UKR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=553&PlayerID=6545&ID=78
CICEKOGLU EKREM CANER,11/05/1985,190cm,Setter,0.86(80/93),0.17(16/93),0.24(22/93),0%(0/8),80%(84/105),https://volleybox.net/caner-cicekoglu-p44736,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=552&PlayerID=545&ID=78
YONET MUZAFFER,18/06/1997,197cm,Setter,0.66(55/83),0.14(12/83),0.29(24/83),0%(0/5),74%(38/51),https://volleybox.net/muzaffer-yonet-p3878,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=549&PlayerID=797&ID=78
DEMIRCI ALTAY,14/04/1999,205cm,Wing-Spiker,0.9(19/21),0.14(3/21),0.1(2/21),46%(41/90),53%(28/52),https://volleybox.net/altay-demirci-p33409,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=549&PlayerID=2947&ID=78
CERVATOGLU MUSTAFA,04/02/2000,191cm,Setter,0.81(60/74),0.14(10/74),0.26(19/74),0%(0/8),82%(62/75),https://volleybox.net/mustafa-cervatoglu-p54780,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=560&PlayerID=3001&ID=78
GUNAYDI ONUR,28/09/2002,203cm,Wing-Spiker,1.11(10/9),0.11(1/9),0.22(2/9),41%(10/24),73%(14/19),https://volleybox.net/onur-gunayd-p73516,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=555&PlayerID=2941&ID=78
AVCIL EGECAN,15/03/2001,N/A,Middle-Blocker,1.05(58/55),0.11(6/55),0.38(21/55),30%(4/13),72%(62/85), ,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=560&PlayerID=4729&ID=78
KESKIN SELCUK,15/01/1982,193cm,Setter,0.96(80/83),0.11(9/83),0.52(43/83),0%(0/7),68%(56/82),https://volleybox.net/selcuk-keskin-p1185,TUR,https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=555&PlayerID=530&ID=78
Mihai Voleanschii,10/04/1992,203cm,Opposite,5(120/24),0.12(1/8),0.17(4/24),N/A,53%(38/72),https://volleybox.net/mihai-voleanschii-p30502,MDA,https://swi-web.dataproject.com/PlayerDetails.aspx?TeamID=399&PlayerID=12491&ID=50
Johansen Germán,02/09/1995,200cm,Opposite,5.08(401/79),0.48(38/79),0.25(20/79),N/A,49%(344/698),https://volleybox.net/german-johansen-p5988,ARG,https://swi-web.dataproject.com/PlayerDetails.aspx?TeamID=381&PlayerID=10807&ID=50
Brzakovic Strahinja,N/A,202cm,Opposite,4.69(403/86),0.26(22/86),0.41(35/86),N/A,48%(346/727),https://volleybox.net/strahinja-brzakovic-p5290,N/A,N/A
Voleanschii Mihai,10/04/1992,203cm,Opposite,4.67(14/3),0.67(2/3),0(0/3),N/A,67%(12/18),https://volleybox.net/mihai-voleanschii-p30502,MDA,https://swi-web.dataproject.com/PlayerDetails.aspx?TeamID=399&PlayerID=12646&ID=50
Wendt Jhon,15/01/1994,198cm,Opposite,4.4(154/35),0.14(5/35),0.31(11/35),N/A,45%(138/308),https://volleybox.net/jhon-wendt-p499,FRA,https://swi-web.dataproject.com/PlayerDetails.aspx?TeamID=386&PlayerID=12567&ID=50
Ulrich Luca,12/01/1997,197cm,Wing Spiker,4.34(417/96),0.21(20/96),0.41(39/96),64%(390/610),48%(358/749),https://volleybox.net/luca-ulrich-p26196,SUI,https://swi-web.dataproject.com/PlayerDetails.aspx?TeamID=383&PlayerID=4825&ID=50
Ropponen Antti,17/08/1995,192cm,Opposite,4.24(318/75),0.21(16/75),0.21(16/75),N/A,53%(287/542),https://volleybox.net/antti-ropponen-p7385,FIN,https://swi-web.dataproject.com/PlayerDetails.aspx?TeamID=378&PlayerID=12518&ID=50
Listanskis Valdas,30/04/1997,202cm,Opposite,4.13(293/71),0.14(10/71),0.38(27/71),N/A,48%(256/538),https://volleybox.net/valdas-listanskis-p53525,LAT,https://swi-web.dataproject.com/PlayerDetails.aspx?TeamID=400&PlayerID=12656&ID=50
Aboulesoud Eid,03/04/1995,N/A,Wing Spiker,3.94(252/64),0.2(13/64),0.38(24/64),57%(230/402),50%(215/433), ,EGY,https://swi-web.dataproject.com/PlayerDetails.aspx?TeamID=386&PlayerID=12565&ID=50
Goldrin Iliya,N/A,195cm,Outside Hitter,3.83(276/72),0.5(36/72),0.33(24/72),60%(182/302),49%(216/441),https://volleybox.net/iliya-goldrin-p18574,N/A,N/A
Mahela Indeewara Bandara Jayalath Arachchige,08/06/2000,190cm,Opposite,3.79(356/94),0.2(19/94),0.19(18/94),N/A,49%(319/651),https://volleybox.net/mahela-indeewara-bandara-p30758,SRI,https://swi-web.dataproject.com/PlayerDetails.aspx?TeamID=383&PlayerID=12523&ID=50
Schalch Étienne,05/09/2003,197cm,Opposite,3.73(41/11),0.27(3/11),0.27(3/11),N/A,56%(35/63),https://volleybox.net/etienne-schalch-p91516,SUI,https://swi-web.dataproject.com/PlayerDetails.aspx?TeamID=386&PlayerID=4985&ID=50
Montavon Mathias,N/A,195cm,Outside Hitter,3.39(278/82),0.23(19/82),0.09(7/82),62%(294/478),47%(252/541),https://volleybox.net/mathias-montavon-p42192,N/A,N/A
Rammé Felipi,23/05/1997,201cm,Wing Spiker,3.21(250/78),0.35(27/78),0.19(15/78),54%(187/348),47%(208/442),https://volleybox.net/felipi-ramme-p4997,BRA,https://swi-web.dataproject.com/PlayerDetails.aspx?TeamID=379&PlayerID=12582&ID=50
Jukic-Sunaric Bruno,N/A,N/A,N/A,3.07(258/84),0.18(15/84),0.29(24/84),61%(301/491),42%(219/524), ,N/A,N/A
Uruena Daniel,26/11/1997,202cm,Middle Blocker,2.99(221/74),0.12(9/74),0.54(40/74),N/A,62%(173/278),https://volleybox.net/daniel-uruena-p25707,PER,https://swi-web.dataproject.com/PlayerDetails.aspx?TeamID=379&PlayerID=12581&ID=50
